FuncionarioID;Nome;CargoID;DepartamentoID;Salario;Genero
1;Leighton Marrow;1;1;9740;Feminino
2;Jamie Tolliver;2;1;8500;Feminino
3;Leonardo Gulliver;2;5;8200;Masculino
4;Marvin Guye;3;2;5200;Masculino
5;Jonas Fairwright;1;2;9750;Masculino
6;Mollie Goodrye;4;3;3540;Feminino
7;Stella Bordwell;3;5;5400;Feminino
8;Keith Dallas;4;4;3600;Masculino
9;Jessica Foxley;5;4;2400;Feminino
10;Garreth Wright;5;3;2300;Masculino
11;Gillian Sowsbury;null;4;1100;Feminino
12;Richard Folley;5;4;2000;Masculino
